Футбол. Россия. Премьер-Лига
2020-06-30;21:00:00;Искра Даниловград;Зета;1.95;3.3;3.7
2020-06-30;21:00:00;Титоград;Подгорица ФК;2.6;2.95;2.8
Футбол. Швейцария. Челлендж-Лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;19:15:00;Шаффхаузен;Вадуц;3.45;3.6;1.95
2020-06-30;19:15:00;Винтертур;Арау;2.95;3.4;2.25
2020-06-30;21:30:00;Лозанна Спортс;Стад Лозанна-Уши;1.38;4.7;7.0
2020-06-30;21:30:00;Грассхоппер;Виль;1.48;4.5;5.5
2020-07-01;19:15:00;Кринс;Кьяссо;1.77;3.65;4.2
Футбол. Швеция. Премьер-Лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-01;20:00:00;Норрчепинг;Эльфсборг;1.6;4.2;5.2
2020-07-01;20:00:00;Кальмар;Эстерсунд ФК;1.8;3.6;4.5
2020-07-01;20:00:00;Мальме;Юргорден;1.85;3.55;4.3
2020-07-02;20:00:00;Фалкенберг;Сириус;2.85;3.4;2.45
2020-07-02;20:00:00;Хаммарбю;Варберг;1.42;4.85;6.85
2020-07-02;20:00:00;Хельсингборг;Мьяльбю;2.85;3.3;2.5
2020-07-02;20:00:00;Гетеборг;АИК Стокгольм;2.85;3.3;2.5
2020-07-02;20:00:00;Эребру;Хаккен;3.3;3.45;2.15
Футбол. Швеция. 1-я лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-03;20:00:00;Йончепинг Содра;Акрополис;1.75;3.5;4.5
2020-07-03;20:00:00;Треллеборг ФФ;Сундсваль;3.25;3.4;2.1
2020-07-04;16:00:00;Далкурд;Дегерфорс;2.6;3.25;2.6
2020-07-04;16:00:00;Умео;Эстер;2.35;3.3;2.85
2020-07-04;18:30:00;Браге;Хальмстад;3.2;3.4;2.1
2020-07-04;18:30:00;Норрбю;Юнгшиле;2.2;3.3;3.1
2020-07-04;15:30:00;Вестерос;ГАИС;1.72;3.5;4.75
Футбол. Швеция. 2-я лига. Север
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;20:00:00;Сильвия;Карлстад;2.3;3.6;2.7
Футбол. Эстония. Суперлига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;19:00:00;Легион Таллинн;Калев Таллинн;1.37;4.5;8.5
2020-06-30;19:30:00;Флора Таллинн;Транс;1.25;6.5;8.0
Футбол. Вьетнам. V-лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;13:00:00;Тхань Хоа;Куан Нинь;3.7;3.35;1.95
2020-06-30;14:00:00;Хонг Линь Ха Тинь;Бинь Дуонг;3.7;3.35;1.95
2020-06-30;14:00:00;Нам Динь;Сонг Лам Нгхе Ан;3.35;3.35;2.05
2020-06-30;15:15:00;Ханой ТТ;Сайгон;1.6;3.5;5.75
Футбол. Юж.Корея. Суперлига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-04;12:00:00;Ульсан Хендай;Инчхон Юн;1.4;4.7;8.0
2020-07-04;13:00:00;Канвон;Пусан Ай-Парк;2.05;3.5;3.55
2020-07-04;14:00:00;Сувон Блюуингс;Сеул;2.35;3.2;3.15
2020-07-05;13:00:00;Кванджу;Дэгу;3.75;3.45;2.0
2020-07-05;13:00:00;Санчжу Сангму;Чонбук;5.5;4.0;1.6
2020-07-05;13:00:00;Соннам;Похан Стилерс;3.85;3.25;2.05
Футбол. Япония. Премьер-Лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-04;12:00:00;Гамба Осака;Серезо Осака;2.3;3.4;3.1
2020-07-04;12:00:00;Шимицу С-Палс;Нагоя Грампус;2.75;3.5;2.45
2020-07-04;12:00:00;Йокогама;Саппоро;3.25;3.4;2.2
2020-07-04;12:30:00;Оита Тринита;Тосу;2.45;3.25;2.95
2020-07-04;13:00:00;Кашива Рейсол;Токио;2.85;3.4;2.45
2020-07-04;13:00:00;Кавасаки Фронтале;Кашима Антлерс;2.1;3.5;3.4
2020-07-04;13:00:00;Шонан;Вегалта Сендай;2.55;3.4;2.7
2020-07-04;13:00:00;Урава;Йокогама Маринос;3.2;3.6;2.15
2020-07-04;13:30:00;Кобе;Санфречче Хиросима;2.35;3.5;2.9
Футбол. Коста-Рика. Плей-офф. Финал. Ответный матч
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;5:30:00;Депортиво Саприсса;Алахуэленсе;2.1;3.5;3.25
Футбол. Лига Про. 2х20 мин. 6x6
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-29;21:00:00;Красные Маки;Белые розы;2.9;4.0;2.07
2020-06-29;22:00:00;Зеленые Береты;Белые розы;2.15;4.0;2.75
Футбол. Жен. Дания. Кубок
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-01;19:00:00;Фортуна Йорринг (ж);Нордсьелленд (ж);1.5;4.25;5.5
2020-07-01;20:00:00;Колдинг (ж);Тистед (ж);2.0;3.6;3.35
Футбол. Жен. Исландия. Премьер-Лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;21:00:00;Вестманнаэйяр (ж);Валюр (ж);12.0;8.5;1.13
2020-06-30;21:00:00;Тор/Ка (ж);Фюлкир Рейкьявик (ж);1.75;4.85;3.3
Футбол. Жен. США. NWSL. Квалифик. раунд
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;19:30:00;Хьюстон Дэш (ж);Юта Роялс (ж);1.7;3.8;4.4
2020-07-01;5:00:00;Ол Регин (ж);Скай Блю (ж);1.75;3.7;4.1
Футбол. FIFA 20. eSport Battle. Night Retro International. 2х4 мин.
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-29;23:26:00;Бразилия (TAKA);Франция (BlackStar98);4.35;3.1;1.87
2020-06-29;23:38:00;Нидерланды (GenaD);Бразилия (TAKA);1.75;3.35;4.65
2020-06-29;23:50:00;Англия (mooneycb);Нидерланды (GenaD);3.0;2.7;2.6
2020-06-30;0:02:00;Италия (Chellovekk);Англия (mooneycb);2.4;2.75;3.25
2020-06-30;0:14:00;Франция (BlackStar98);Италия (Chellovekk);2.35;2.35;4.25
2020-06-30;0:26:00;Франция (BlackStar98);Бразилия (TAKA);1.87;3.1;4.35
2020-06-30;0:38:00;Бразилия (TAKA);Нидерланды (GenaD);4.65;3.35;1.75
2020-06-30;0:50:00;Нидерланды (GenaD);Англия (mooneycb);2.6;2.7;3.0
2020-06-30;1:02:00;Англия (mooneycb);Италия (Chellovekk);3.25;2.75;2.4
2020-06-30;1:14:00;Италия (Chellovekk);Франция (BlackStar98);4.25;2.35;2.35
Футбол. FIFA 20. eSport Battle. Premier League. 2х4 мин.
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-29;21:26:00;Арсенал Л (TAKA);Ман. Юнайтед (BlackStar98);3.9;3.1;2.0
2020-06-29;21:50:00;Тоттенхэм (mooneycb);Ливерпуль (GenaD);2.9;2.8;2.6
2020-06-29;22:14:00;Ман. Юнайтед (BlackStar98);Ман. Сити (Chellovekk);2.4;2.3;4.25
